"","MM13","MM14","MM15","MM16","MM17","MM18","MM19","MM20","MM21"
"nbis-gene-929",12487.8126208311,13073.0183911094,12812.8550963022,8850.65441277964,8068.96896755252,9590.16427400973,5032.42076922483,6412.36524203198,7071.68495413748
"nbis-gene-930",5732.03899096587,5935.30807708081,5775.53552975138,4459.21058777778,4160.07364673148,4837.42082955404,2120.70848134,2766.70880709921,3024.38081592768
"nbis-gene-931",1138.35791898131,1192.67930780801,1077.10121462716,1049.59683741297,926.017948313642,977.393221613804,484.148881592091,548.636474332939,714.172117003144
"nbis-gene-932",8589.74611117569,8812.21477698365,7808.33806191342,20915.5021437331,23534.2233173866,21143.2224004586,26176.9980979123,27452.5269798293,24715.8792315342
"nbis-gene-933",1957.34563010085,2059.10032670477,2696.62750136871,419.996332087923,482.952317630398,346.816949604898,172.747957751169,214.561091162796,243.647117264885
"nbis-gene-934",11379.2042554589,11680.4788732067,10953.11199191,13331.1406121266,12326.0642852365,13429.4729472982,12884.4973488487,10990.609577589,10396.9255707364
"nbis-gene-935",4104.56341117706,4058.78275311114,4115.97310673471,5420.55303645933,5587.37022829989,5539.16213797538,5920.02705214366,4896.3217426317,4995.25911671812
"nbis-gene-936",7082.1437326939,8103.52127524265,8031.76553209388,5504.07951150871,5684.39189925243,5653.56669018271,3781.13457525091,4284.63442133425,4460.61645454173
"nbis-gene-937",12457.1880803513,12738.1174985183,14642.8939705548,10737.0919719138,9916.69278991524,10384.690376741,7792.97859407738,9399.28148479827,10281.5137783477
"nbis-gene-938",6873.8968574306,7296.5181566443,7859.99759259098,11532.1694561102,10885.8314808745,12011.5771585239,11119.5132805094,11862.0287460835,13007.9940703321
"nbis-gene-939",8188.12713745361,8870.55235182208,9194.10497233901,7139.93764549469,7649.61974532434,7847.07129352797,6254.15797042553,6627.86739061216,6947.39533156511
"nbis-gene-940",534.616978091917,485.06613152699,497.22298277153,407.388562269148,351.434052561406,432.395157948964,634.166844902316,485.585627368433,582.977515398975
"nbis-gene-941",201.246980296466,244.153553953452,161.43603336738,193.056475349983,185.419193375956,165.75147721377,146.608464144084,153.392359033051,156.84166657942
"nbis-gene-942",352.619708954243,328.418939831191,352.576296874357,277.370936013037,320.171514143366,345.916126359171,230.709443575574,223.030607919222,187.420859434527
"nbis-gene-943",1223.23164545417,1179.71540228836,1035.77359008511,1226.89360048949,1057.53621338263,1171.07021944511,561.430862691298,637.095871566723,631.312368621563
"nbis-gene-944",348.244774599972,307.892756091742,284.127418726588,470.427411363021,377.306498148748,435.097627686145,214.798447466913,200.445229902086,192.352987314383
"nbis-gene-945",484.742726453227,492.628409746787,498.514471038469,623.29662041566,571.349840053819,631.477095254633,265.940934959036,281.376167796825,284.090565879703
"nbis-gene-946",210.871835875862,204.181511934524,202.763657909429,293.130648286505,300.767179952859,308.081550038637,114.786471926763,160.920818372097,132.18102718014
"nbis-gene-947",160.122597366319,191.217606414871,192.431751773917,305.73841810528,291.065012857606,242.321453100565,89.7834780417257,92.223626903307,117.384643540572
"nbis-gene-948",1675.59985768579,2064.50195400463,2016.01318469184,976.314175341344,1030.58574922915,896.319129498374,426.187395767685,541.108014993893,570.153982911349
"nbis-gene-949",8951.99067570932,9563.04097166351,9590.5918702893,4366.22828536432,4479.16714230871,4308.63758431228,3345.85518170684,3828.22157390462,4041.38558475398
"nbis-gene-950",2524.33712241437,2347.54722451704,2034.09402042898,1107.9077728248,1116.82723452029,1020.6327374087,576.205359077911,892.122431676888,1069.28532435277
"nbis-gene-951",31.4995273507512,25.9278110393046,36.1616714742931,35.4593526153031,36.6526312487355,42.3386925491694,13.6379966645659,20.703263182375,9.86425575971193
"nbis-gene-952",2057.09413337823,2207.1049147208,2022.47062602653,2841.47612290628,2712.29471240643,2817.77511263408,2269.58994492818,2486.27369671977,2526.23590006222
"nbis-gene-953",28624.3204931243,30371.1896561654,28909.9648554304,15289.284862105,15099.8060559129,15587.8454440602,8185.07099818366,9767.23493499412,9985.58610555638
"nbis-gene-954",16309.7552727223,17791.8800002628,19482.1005067754,13948.1333476329,14005.6172112815,13824.9343521724,14221.0210219761,15311.0041807837,15919.9223705991
"nbis-gene-955",3646.07029084945,3666.62461114166,3764.6882981273,3107.81526032789,2968.86313114758,3035.77433810002,2149.12097439118,2467.45254837215,2653.48479936251
"nbis-gene-956",4846.55227766142,4794.48439135141,4104.34971233226,4021.87857218904,3972.49841622325,2941.18789729868,2109.34348411953,2381.81632339051,2905.02332123516
"nbis-gene-957",27625.9604734797,27457.5518906236,26719.6007547018,27138.2245349119,25580.302555919,29226.3093843671,15906.4501097721,18991.4797401596,21219.9869902923
"nbis-gene-958",7301.7654372783,6963.77791497322,6444.5264520258,7355.05771802753,6648.14049738094,7001.19826579031,4768.75283370989,5317.91546561825,5753.82038463997
"nbis-gene-959",3181.45226242587,2808.84619592466,2750.87000858015,3214.98130378748,3266.39625540202,2906.05579071533,2706.00583819429,2663.19249118734,2579.50288116467
"nbis-gene-960",97890.0311636845,99812.3495721829,99691.2708132913,90855.5292421568,90961.0505737002,88821.1720286831,68963.9396335438,71765.9797068683,75768.3349159233
"nbis-gene-961",86055.8337353815,80520.9778334803,75642.4677946194,75314.87696929,77362.9243804193,72725.2622740329,46412.375648962,49988.0289538446,53427.7684713277
"nbis-gene-962",17080.6187059448,15779.2336683368,15051.0042629075,20440.346818688,20647.2895972656,20713.5297122468,12892.452846903,14337.0097537947,14926.5918155961
